cluster,gene,auc,power
C1,VEZF1,0.628,0.257
C1,UBE2J1,0.513,0.025
C1,C8orf46,0.551,0.102
C1,EGR1,0.396,0.209
C1,TMBIM6,0.507,0.014
C1,TRIM24,0.639,0.278
C1,HNRNPA1L2,0.686,0.372
C1,KANSL2,0.526,0.052
C1,GTF2I,0.53,0.061
C1,DAZAP2,0.573,0.146
C1,MIDN,0.586,0.172
C1,SLC38A2,0.482,0.035
C1,HNRNPA1,0.777,0.553
C1,CCT2,0.574,0.148
C1,NACA,0.641,0.282
C1,EIF5,0.618,0.236
C1,CHAC1,0.457,0.085
C1,DDX3X,0.537,0.074
C1,TCF12,0.663,0.325
C1,SRSF3,0.656,0.312
C1,ABCC9,0.533,0.067
C1,EPB41L4B,0.491,0.018
C1,ATF4,0.507,0.013
C1,NOVA2,0.574,0.148
C1,PCBP2,0.564,0.128
C1,EIF1,0.33,0.339
C1,ATP5G2,0.645,0.291
C1,ATP5B,0.619,0.237
C1,RND3,0.522,0.044
C1,BTG1,0.59,0.179
C1,RBM39,0.48,0.04
C1,DDX5,0.435,0.13
C1,CORO1C,0.52,0.04
C1,UBC,0.481,0.038
C1,H3F3B,0.467,0.066
C1,H3F3C,0.518,0.036
C2,MYT1L,0.365,0.27
C2,STMN2,0.395,0.209
C2,HMP19,0.387,0.226
C2,SCN2A,0.376,0.247
C2,GRIA2,0.407,0.185
C2,GAP43,0.356,0.288
C2,RUNX1T1,0.312,0.376
C2,NRXN1,0.341,0.318
C2,RTN1,0.502,0.005
C2,NEUROD6,0.346,0.309
C2,SCN3B,0.43,0.14
C2,RAB3A,0.436,0.129
C2,GABBR2,0.435,0.131
C2,SNAP25,0.416,0.169
C2,KIF5A,0.395,0.21
C2,BCL11B,0.3,0.4
C2,ATAT1,0.479,0.043
C2,RALYL,0.458,0.085
C2,MKI67,0.528,0.056
C2,ECT2,0.575,0.151
C2,FANCD2,0.572,0.143
C2,RRM2,0.626,0.253
C2,SMC2,0.588,0.176
C2,CKS2,0.546,0.092
C2,SMC4,0.608,0.215
C2,BARD1,0.582,0.165
C2,TPX2,0.533,0.066
C2,RAD51AP1,0.646,0.292
C2,GMNN,0.667,0.334
C2,CENPN,0.532,0.065
C2,AURKB,0.53,0.061
C2,DLGAP5,0.545,0.089
C2,UBE2C,0.532,0.064
C2,TOP2A,0.541,0.083
C2,GNG5,0.687,0.375
C2,NDC80,0.537,0.074
C2,ASPM,0.576,0.152
C2,CENPK,0.677,0.353
C2,TRIM59,0.553,0.107
C2,MIS18BP1,0.597,0.194
C2,CDK1,0.562,0.124
C2,MAD2L1,0.59,0.179
C2,HMGN2,0.609,0.218
C2,CENPF,0.579,0.157
C2,BIRC5,0.583,0.167
C2,CENPU,0.661,0.321
C2,ANP32E,0.579,0.159
C2,NUSAP1,0.562,0.124
C2,CKS1B,0.567,0.134
C2,HMGB2,0.547,0.093
C2,TUBA1A,0.42,0.159
C2,CKB,0.549,0.098
C2,SOX11,0.535,0.069
C2,TUBB2B,0.606,0.211
C2,PTBP2,0.642,0.285
C2,DPYSL2,0.578,0.157
C2,MAP1B,0.357,0.286
C2,DCX,0.529,0.059
C2,P4HA2,0.508,0.016
