cluster,gene,auc,power
C5,IFITM1,0.598,0.197
C5,DDR2,0.524,0.048
C5,POSTN,0.429,0.142
C5,COL5A1,0.452,0.095
C5,MFAP4,0.466,0.069
C5,COL6A3,0.44,0.121
C5,LUM,0.502,0.004
C5,COL1A2,0.531,0.062
C5,DCN,0.524,0.047
C5,COL1A1,0.46,0.081
C5,COL3A1,0.548,0.096
C5,S100A11,0.471,0.058
C5,MTRNR2L12,0.531,0.061
C5,NNAT,0.517,0.033
C5,PRTG,0.738,0.475
C5,BCAT1,0.533,0.065
C5,CXADR,0.648,0.296
C5,EZR,0.584,0.167
C5,NDUFA6,0.429,0.141
C5,MEGF10,0.617,0.234
C5,STK17B,0.27,0.461
C5,SYNE2,0.488,0.023
C5,CLIC1,0.688,0.376
C5,APOLD1,0.401,0.198
C5,POU3F3,0.485,0.03
C5,ID4,0.557,0.115
C5,CA12,0.496,0.007
C5,FHL2,0.425,0.15
C5,FABP7,0.478,0.044
C5,H2AFX,0.335,0.329
C5,MASP1,0.744,0.489
C5,KIAA1217,0.558,0.115
C5,NTRK3,0.416,0.168
C5,MEIS2,0.265,0.47
C5,CSNK2B,0.594,0.187
C5,SLC1A3,0.481,0.038
C5,SEMA5A,0.419,0.162
C5,NBPF14,0.686,0.371
C5,IL33,0.442,0.115
C5,DMRTA2,0.559,0.118
C5,NBPF10,0.606,0.213
C5,NDUFA3,0.693,0.386
C5,BCL11A,0.388,0.224
C5,DDX39B,0.476,0.048
C5,FOXG1,0.256,0.487
C5,SOX9,0.573,0.146
C5,LHX2,0.309,0.383
C5,TCF4,0.497,0.006
C5,DOK5,0.526,0.053
C5,MPPED2,0.356,0.287
C5,GLI3,0.382,0.235
C5,SFRP1,0.297,0.406
C5,HEY1,0.486,0.029
C5,HES1,0.706,0.411
C5,TFAP2C,0.46,0.079
C5,TUBB,0.388,0.224
C5,CREB5,0.415,0.169
C5,C1orf61,0.554,0.107
C5,IFI44L,0.606,0.211
C5,NFIA,0.703,0.405
C5,PHLDA1,0.427,0.147
C5,NFIB,0.511,0.023
C5,TMSB10,0.522,0.044
C5,CALM2,0.36,0.279
C5,CFL1,0.492,0.016
C5,TUBA1C,0.357,0.286
C5,STMN1,0.383,0.235
C5,ARL6IP1,0.402,0.196
C5,EIF5A,0.494,0.012
C5,KNSTRN,0.276,0.447
C5,YWHAZ,0.422,0.155
C5,ACTG1,0.454,0.092
C5,THY1,0.432,0.135
C5,PSRC1,0.37,0.259
C5,PLK1,0.378,0.244
C5,TUBB4B,0.453,0.094
C5,TUBB2A,0.455,0.09
C5,AURKA,0.39,0.221
C5,FTH1,0.522,0.043
C5,CCNA2,0.366,0.269
C5,CDC20,0.407,0.186
C5,PTMS,0.522,0.045
C5,HN1,0.359,0.282
C5,DYNLL1,0.519,0.038
C5,YWHAB,0.473,0.055
C5,TROAP,0.366,0.269
C5,CCNB1,0.382,0.237
C5,MLLT11,0.358,0.284
C5,OLFM3,0.76,0.52
C5,ATP1A2,0.69,0.38
C5,CDO1,0.736,0.473
C5,RSPO3,0.848,0.697
C5,PAX6,0.55,0.1
C5,SDK2,0.686,0.371
C5,ITGA6,0.703,0.406
C5,GPR98,0.682,0.363
C5,RFX4,0.705,0.41
C5,EDNRB,0.691,0.381
C5,NTRK2,0.752,0.504
C5,RSPO2,0.864,0.727
C5,TMEM47,0.649,0.299
C5,CLU,0.777,0.555
C5,ADCY2,0.791,0.583
C5,GAS2L3,0.391,0.218
C5,NEK2,0.428,0.144
C5,KIF20A,0.382,0.236
C5,PIF1,0.402,0.195
C5,NDE1,0.433,0.135
C5,CEP55,0.405,0.19
C5,FAM72B,0.455,0.089
C5,KIF14,0.338,0.324
C5,GTSE1,0.392,0.216
C5,SGOL2,0.371,0.257
C5,CCNF,0.442,0.117
C5,FAM72A,0.454,0.093
C5,CCNB2,0.322,0.356
C5,CDCA8,0.349,0.303
C5,CDCA3,0.381,0.238
C5,BORA,0.394,0.212
C5,KIF4B,0.367,0.267
C5,CXXC4,0.559,0.117
C5,CDCA2,0.362,0.276
C5,BUB1,0.33,0.341
C5,ARHGAP11B,0.391,0.218
C5,CDC25B,0.381,0.238
C5,KIF2C,0.34,0.321
C5,GPSM2,0.45,0.099
C5,NUF2,0.326,0.349
C5,HMMR,0.408,0.184
C5,CENPE,0.359,0.282
C5,CDC25C,0.344,0.312
C5,EFNB2,0.486,0.028
C5,CNTNAP2,0.788,0.575
C5,DTL,0.479,0.042
C5,WDR76,0.464,0.073
C5,NME1,0.407,0.186
C5,FABP5,0.28,0.439
C5,MCM3,0.489,0.021
C5,PPIA,0.467,0.067
C5,NGFRAP1,0.698,0.397
C5,ANLN,0.295,0.41
C5,KIF23,0.354,0.292
C5,PBK,0.33,0.341
C5,RAD21,0.399,0.202
C5,NUBP2,0.484,0.031
C5,FLYWCH2,0.488,0.024
C5,RCN3,0.489,0.021
C5,C19orf60,0.491,0.018
C5,TTYH3,0.496,0.008
C5,AP2S1,0.5,0.0
C5,MRPL12,0.471,0.058
C5,DRAP1,0.416,0.169
C5,C9orf142,0.532,0.063
C5,GPAA1,0.608,0.217
C5,LAMA4,0.495,0.009
C5,IER2,0.42,0.161
C5,ALKBH7,0.448,0.105
C5,BAD,0.545,0.089
C5,C20orf27,0.478,0.044
C5,CTSD,0.593,0.186
C5,H2AFY2,0.508,0.016
C5,MCM2,0.482,0.036
C5,TUBB3,0.37,0.26
C5,MRPL41,0.48,0.04
C5,UNG,0.574,0.149
C5,EIF3F,0.511,0.022
C5,FLNA,0.425,0.15
C5,PDLIM7,0.623,0.247
C5,PCBP4,0.41,0.181
C5,MRPS26,0.468,0.064
C5,JUNB,0.49,0.021
C5,DBN1,0.498,0.003
C5,SNRPB,0.43,0.14
C5,MZT2B,0.565,0.129
C5,FAM195B,0.456,0.089
C5,C7orf50,0.52,0.04
C5,CYB5R3,0.512,0.023
C5,CCND1,0.558,0.116
C5,C9orf16,0.484,0.031
C5,PFN1,0.56,0.12
C5,LIMD2,0.458,0.085
C5,COPE,0.472,0.056
C5,SCAND1,0.549,0.099
C5,CCDC124,0.507,0.014
C5,POTEE,0.551,0.103
C5,POTEJ,0.572,0.145
C5,MEIS1,0.445,0.11
C5,ZFHX3,0.503,0.005
C5,SRSF6,0.368,0.263
C5,DERA,0.469,0.063
C5,CLSPN,0.375,0.25
C5,UHRF1,0.413,0.174
C5,EBF3,0.457,0.086
C5,S100B,0.697,0.395
C5,CCDC30,0.564,0.128
C5,MLF2,0.541,0.082
C5,PPP1R10,0.546,0.091
C5,ARF1,0.522,0.045
C5,TRMT112,0.6,0.2
C5,APOL2,0.637,0.273
C5,NDUFS8,0.567,0.133
C5,MAP1LC3B2,0.567,0.134
C5,HK2,0.62,0.239
C5,WLS,0.913,0.825
C5,ATPIF1,0.589,0.178
C5,CIB1,0.628,0.256
C5,PGAM1,0.43,0.14
C5,CALM3,0.515,0.03
C5,TTYH1,0.66,0.32
C5,PKM,0.757,0.514
C5,BNIP3,0.489,0.023
C5,CDKN1A,0.525,0.05
C5,ALDOA,0.463,0.074
C5,SNAPC1,0.496,0.007
C5,WNT8B,0.794,0.588
C5,UQCR11,0.718,0.436
C5,PGK1,0.533,0.066
C5,TPBG,0.914,0.829
C5,SCD,0.622,0.245
C5,GUK1,0.584,0.169
C5,ATP1B2,0.728,0.456
C5,ZIC2,0.867,0.734
C5,PIFO,0.785,0.569
C5,UBBP4,0.547,0.094
C5,MAF,0.865,0.729
C5,CTGF,0.769,0.538
C5,GJA1,0.774,0.548
C5,MYL6,0.711,0.422
C5,NELL2,0.746,0.492
C5,ID3,0.786,0.573
C5,LPHN3,0.762,0.523
C5,IRS1,0.713,0.427
C5,C1orf168,0.726,0.452
C5,CTNNB1,0.796,0.591
C5,AXIN2,0.769,0.539
C5,SLIT2,0.844,0.688
C5,LRRN2,0.688,0.375
C5,NR2F2,0.753,0.506
C5,SLIT3,0.776,0.552
C5,DMD,0.855,0.71
C5,LRRIQ1,0.762,0.523
C5,SH3BGRL,0.716,0.432
C5,C6orf118,0.803,0.605
C5,COX6A1,0.573,0.147
C5,SPARC,0.815,0.63
C5,RSPO1,0.703,0.406
C5,HNRNPL,0.626,0.252
C5,APCDD1,0.756,0.513
C5,MARCKS,0.551,0.102
C5,HSBP1,0.685,0.369
C5,SULF2,0.745,0.491
C5,SLC7A8,0.728,0.456
C5,NR2F1,0.716,0.433
C5,CDH2,0.768,0.536
C5,CDK11A,0.438,0.123
C5,AEN,0.384,0.233
C5,DDIT4,0.532,0.063
C5,ERO1L,0.437,0.125
C5,EIF4EBP1,0.342,0.316
C5,ADM,0.499,0.002
C5,PGAM4,0.463,0.074
C5,GNL3,0.43,0.139
C5,FLRT2,0.607,0.213
C5,PDCD6,0.566,0.132
C5,GOLGA8A,0.538,0.076
C5,POLE2,0.489,0.022
C5,EIF4A1,0.514,0.028
C5,MFNG,0.491,0.017
C5,TPI1,0.516,0.032
C5,RAN,0.437,0.126
C5,DDIT3,0.658,0.315
C5,VEZF1,0.412,0.176
C5,UBE2J1,0.6,0.201
C5,C8orf46,0.465,0.071
C5,EGR1,0.641,0.282
C5,TMBIM6,0.638,0.275
C5,TRIM24,0.43,0.14
C5,HNRNPA1L2,0.516,0.031
C5,KANSL2,0.468,0.065
C5,GTF2I,0.483,0.034
C5,DAZAP2,0.554,0.108
C5,MIDN,0.467,0.065
C5,SLC38A2,0.324,0.352
C5,HNRNPA1,0.414,0.173
C5,CCT2,0.565,0.129
C5,NACA,0.618,0.235
C5,EIF5,0.507,0.015
C5,CHAC1,0.452,0.096
C5,DDX3X,0.532,0.064
C5,TCF12,0.453,0.094
C5,SRSF3,0.463,0.075
C5,ABCC9,0.533,0.065
C5,EPB41L4B,0.561,0.123
C5,ATF4,0.418,0.164
C5,NOVA2,0.493,0.015
C5,PCBP2,0.545,0.09
C5,EIF1,0.535,0.07
C5,ATP5G2,0.54,0.08
C5,ATP5B,0.47,0.06
C5,RND3,0.524,0.047
C5,BTG1,0.62,0.239
C5,RBM39,0.474,0.051
C5,DDX5,0.486,0.027
C5,CORO1C,0.426,0.147
C5,UBC,0.548,0.096
C5,H3F3B,0.568,0.136
C5,H3F3C,0.596,0.192
C6,MYT1L,0.404,0.192
C6,STMN2,0.395,0.209
C6,HMP19,0.417,0.166
C6,SCN2A,0.482,0.036
C6,GRIA2,0.385,0.23
C6,GAP43,0.357,0.286
C6,RUNX1T1,0.333,0.335
C6,NRXN1,0.346,0.308
C6,RTN1,0.402,0.196
C6,NEUROD6,0.451,0.098
C6,SCN3B,0.523,0.045
C6,RAB3A,0.5,0.001
C6,GABBR2,0.426,0.148
C6,SNAP25,0.571,0.142
C6,KIF5A,0.329,0.342
C6,BCL11B,0.49,0.021
C6,ATAT1,0.437,0.127
C6,RALYL,0.44,0.119
C6,MKI67,0.27,0.46
C6,ECT2,0.323,0.354
C6,FANCD2,0.29,0.42
C6,RRM2,0.305,0.389
C6,SMC2,0.364,0.272
C6,CKS2,0.468,0.064
C6,SMC4,0.342,0.316
C6,BARD1,0.331,0.337
C6,TPX2,0.276,0.448
C6,RAD51AP1,0.3,0.401
C6,GMNN,0.305,0.389
C6,CENPN,0.238,0.524
C6,AURKB,0.29,0.419
C6,DLGAP5,0.33,0.341
C6,UBE2C,0.285,0.43
C6,TOP2A,0.301,0.398
C6,GNG5,0.495,0.009
C6,NDC80,0.276,0.448
C6,ASPM,0.29,0.419
C6,CENPK,0.216,0.568
C6,TRIM59,0.418,0.165
C6,MIS18BP1,0.234,0.532
C6,CDK1,0.284,0.432
C6,MAD2L1,0.289,0.421
C6,HMGN2,0.248,0.505
C6,CENPF,0.278,0.443
C6,BIRC5,0.292,0.416
C6,CENPU,0.212,0.576
C6,ANP32E,0.361,0.277
C6,NUSAP1,0.258,0.484
C6,CKS1B,0.3,0.4
C6,HMGB2,0.373,0.254
C6,TUBA1A,0.168,0.663
C6,CKB,0.204,0.592
C6,SOX11,0.215,0.57
C6,TUBB2B,0.256,0.487
C6,PTBP2,0.199,0.603
C6,DPYSL2,0.295,0.41
C6,MAP1B,0.178,0.643
C6,DCX,0.199,0.603
C6,P4HA2,0.698,0.397
C6,MMP2,0.471,0.059
C6,TIMP1,0.624,0.248
C6,KDELR3,0.595,0.189
C6,MGP,0.46,0.079
C6,FXYD5,0.491,0.017
C6,SDC4,0.537,0.073
C6,IFITM2,0.519,0.038
C6,PDGFRB,0.517,0.035
C6,PPIC,0.485,0.029
C6,IFITM3,0.411,0.178
C6,TGFBI,0.57,0.141
C6,TPM2,0.459,0.082
C6,FTL,0.924,0.848
C6,KRT8,0.625,0.251
C6,BNC2,0.498,0.004
C6,GXYLT2,0.53,0.061
C6,OLFML3,0.458,0.084
C6,MME,0.506,0.013
C6,RBMS3,0.554,0.107
C6,ANXA2,0.667,0.334
C6,LGALS1,0.63,0.259
C6,SERPINB9,0.565,0.13
C6,COL5A2,0.485,0.03
C6,COL21A1,0.562,0.124
C6,SNAI2,0.445,0.11
C6,S100A10,0.583,0.165
C6,HAS2,0.481,0.038
C6,PITX2,0.495,0.01
C6,CRISPLD2,0.489,0.021
C6,IFITM1,0.511,0.022
C6,DDR2,0.63,0.26
C6,POSTN,0.575,0.15
C6,COL5A1,0.559,0.118
C6,MFAP4,0.649,0.297
C6,COL6A3,0.547,0.094
C6,LUM,0.612,0.224
C6,COL1A2,0.584,0.167
C6,DCN,0.567,0.133
C6,COL1A1,0.627,0.253
C6,COL3A1,0.623,0.246
C6,S100A11,0.613,0.227
C6,MTRNR2L12,0.39,0.22
C6,NNAT,0.404,0.192
C6,PRTG,0.605,0.209
C6,BCAT1,0.607,0.214
C6,CXADR,0.425,0.149
C6,EZR,0.452,0.095
C6,NDUFA6,0.521,0.041
C6,MEGF10,0.414,0.171
C6,STK17B,0.346,0.309
C6,SYNE2,0.238,0.523
C6,CLIC1,0.413,0.174
C6,APOLD1,0.412,0.176
C6,POU3F3,0.274,0.452
C6,ID4,0.304,0.391
C6,CA12,0.432,0.136
C6,FHL2,0.494,0.012
C6,FABP7,0.278,0.445
C6,H2AFX,0.394,0.213
C6,MASP1,0.394,0.213
C6,KIAA1217,0.358,0.284
C6,NTRK3,0.342,0.315
C6,MEIS2,0.267,0.466
C6,CSNK2B,0.569,0.138
C6,SLC1A3,0.302,0.397
C6,SEMA5A,0.437,0.127
C6,NBPF14,0.562,0.125
C6,IL33,0.427,0.146
C6,DMRTA2,0.404,0.192
C6,NBPF10,0.637,0.274
C6,NDUFA3,0.502,0.003
C6,BCL11A,0.38,0.24
C6,DDX39B,0.378,0.243
C6,FOXG1,0.236,0.528
C6,SOX9,0.391,0.219
C6,LHX2,0.291,0.417
C6,TCF4,0.241,0.519
C6,DOK5,0.376,0.248
C6,MPPED2,0.348,0.304
C6,GLI3,0.264,0.472
C6,SFRP1,0.257,0.485
C6,HEY1,0.384,0.232
C6,HES1,0.451,0.097
C6,TFAP2C,0.421,0.158
C6,TUBB,0.147,0.706
C6,CREB5,0.367,0.265
C6,C1orf61,0.372,0.257
C6,IFI44L,0.407,0.187
C6,NFIA,0.455,0.09
C6,PHLDA1,0.388,0.225
C6,NFIB,0.355,0.291
C6,TMSB10,0.381,0.239
C6,CALM2,0.445,0.11
C6,CFL1,0.219,0.562
C6,TUBA1C,0.314,0.372
C6,STMN1,0.18,0.639
C6,ARL6IP1,0.467,0.067
C6,EIF5A,0.389,0.222
C6,KNSTRN,0.327,0.346
C6,YWHAZ,0.427,0.146
C6,ACTG1,0.189,0.622
C6,THY1,0.364,0.272
C6,PSRC1,0.38,0.24
C6,PLK1,0.376,0.247
C6,TUBB4B,0.4,0.199
C6,TUBB2A,0.298,0.404
C6,AURKA,0.39,0.221
C6,FTH1,0.446,0.107
C6,CCNA2,0.325,0.351
C6,CDC20,0.328,0.343
C6,PTMS,0.327,0.346
C6,HN1,0.283,0.433
C6,DYNLL1,0.488,0.024
C6,YWHAB,0.232,0.536
C6,TROAP,0.337,0.327
C6,CCNB1,0.339,0.322
C6,MLLT11,0.381,0.239
C6,OLFM3,0.548,0.096
C6,ATP1A2,0.506,0.011
C6,CDO1,0.637,0.275
C6,RSPO3,0.689,0.378
C6,PAX6,0.478,0.045
C6,SDK2,0.499,0.003
C6,ITGA6,0.539,0.079
C6,GPR98,0.625,0.251
C6,RFX4,0.438,0.125
C6,EDNRB,0.526,0.052
C6,NTRK2,0.668,0.336
C6,RSPO2,0.639,0.278
C6,TMEM47,0.552,0.103
C6,CLU,0.691,0.381
C6,ADCY2,0.604,0.208
C6,GAS2L3,0.383,0.234
C6,NEK2,0.357,0.286
C6,KIF20A,0.305,0.39
C6,PIF1,0.424,0.152
C6,NDE1,0.401,0.197
C6,CEP55,0.401,0.198
C6,FAM72B,0.441,0.118
C6,KIF14,0.295,0.41
C6,GTSE1,0.295,0.41
C6,SGOL2,0.251,0.498
C6,CCNF,0.335,0.331
C6,FAM72A,0.478,0.044
C6,CCNB2,0.365,0.27
C6,CDCA8,0.323,0.355
C6,CDCA3,0.322,0.355
C6,BORA,0.446,0.109
C6,KIF4B,0.317,0.365
C6,CXXC4,0.452,0.096
C6,CDCA2,0.355,0.289
C6,BUB1,0.263,0.474
C6,ARHGAP11B,0.345,0.309
C6,CDC25B,0.414,0.172
C6,KIF2C,0.24,0.52
C6,GPSM2,0.495,0.009
C6,NUF2,0.333,0.334
C6,HMMR,0.382,0.237
C6,CENPE,0.313,0.375
C6,CDC25C,0.32,0.36
C6,EFNB2,0.3,0.399
C6,CNTNAP2,0.473,0.054
C6,DTL,0.353,0.294
C6,WDR76,0.386,0.229
C6,NME1,0.358,0.285
C6,FABP5,0.249,0.502
C6,MCM3,0.295,0.411
C6,PPIA,0.206,0.588
C6,NGFRAP1,0.263,0.474
C6,ANLN,0.371,0.258
C6,KIF23,0.353,0.294
C6,PBK,0.326,0.348
C6,RAD21,0.436,0.129
C6,NUBP2,0.52,0.04
C6,FLYWCH2,0.452,0.096
C6,RCN3,0.506,0.012
C6,C19orf60,0.442,0.116
C6,TTYH3,0.364,0.273
C6,AP2S1,0.431,0.137
C6,MRPL12,0.451,0.097
C6,DRAP1,0.424,0.152
C6,C9orf142,0.433,0.134
C6,GPAA1,0.418,0.164
C6,LAMA4,0.439,0.122
C6,IER2,0.361,0.279
C6,ALKBH7,0.494,0.011
C6,BAD,0.45,0.1
C6,C20orf27,0.389,0.222
C6,CTSD,0.568,0.135
C6,H2AFY2,0.277,0.446
C6,MCM2,0.35,0.299
C6,TUBB3,0.226,0.547
C6,MRPL41,0.43,0.139
C6,UNG,0.371,0.258
C6,EIF3F,0.47,0.06
C6,FLNA,0.281,0.438
C6,PDLIM7,0.319,0.362
C6,PCBP4,0.369,0.263
C6,MRPS26,0.431,0.139
C6,JUNB,0.554,0.108
C6,DBN1,0.335,0.331
C6,SNRPB,0.202,0.596
C6,MZT2B,0.362,0.277
C6,FAM195B,0.306,0.388
C6,C7orf50,0.392,0.217
C6,CYB5R3,0.353,0.294
C6,CCND1,0.445,0.109
C6,C9orf16,0.301,0.399
C6,PFN1,0.475,0.049
C6,LIMD2,0.381,0.237
C6,COPE,0.539,0.079
C6,SCAND1,0.429,0.143
C6,CCDC124,0.385,0.229
C6,POTEE,0.557,0.113
C6,POTEJ,0.481,0.038
C6,MEIS1,0.381,0.238
C6,ZFHX3,0.4,0.199
C6,SRSF6,0.322,0.357
C6,DERA,0.416,0.168
C6,CLSPN,0.391,0.219
C6,UHRF1,0.26,0.479
C6,EBF3,0.426,0.148
C6,S100B,0.515,0.03
C6,CCDC30,0.666,0.332
C6,MLF2,0.553,0.106
C6,PPP1R10,0.592,0.183
C6,ARF1,0.612,0.224
C6,TRMT112,0.839,0.678
C6,APOL2,0.749,0.498
C6,NDUFS8,0.625,0.249
C6,MAP1LC3B2,0.606,0.211
C6,HK2,0.753,0.506
C6,WLS,0.603,0.206
C6,ATPIF1,0.488,0.023
C6,CIB1,0.744,0.487
C6,PGAM1,0.568,0.136
C6,CALM3,0.538,0.076
C6,TTYH1,0.287,0.426
C6,PKM,0.479,0.043
C6,BNIP3,0.85,0.7
C6,CDKN1A,0.756,0.512
C6,ALDOA,0.931,0.863
C6,SNAPC1,0.746,0.492
C6,WNT8B,0.464,0.071
C6,UQCR11,0.467,0.067
C6,PGK1,0.803,0.607
C6,TPBG,0.628,0.256
C6,SCD,0.612,0.224
C6,GUK1,0.619,0.239
C6,ATP1B2,0.749,0.498
C6,ZIC2,0.631,0.261
C6,PIFO,0.64,0.281
C6,UBBP4,0.544,0.087
C6,MAF,0.596,0.192
C6,CTGF,0.524,0.048
C6,GJA1,0.562,0.123
C6,MYL6,0.515,0.031
C6,NELL2,0.354,0.292
C6,ID3,0.533,0.066
C6,LPHN3,0.515,0.03
C6,IRS1,0.575,0.15
C6,C1orf168,0.578,0.157
C6,CTNNB1,0.264,0.472
C6,AXIN2,0.521,0.042
C6,SLIT2,0.643,0.286
C6,LRRN2,0.457,0.085
C6,NR2F2,0.549,0.099
C6,SLIT3,0.445,0.11
C6,DMD,0.447,0.106
C6,LRRIQ1,0.449,0.102
C6,SH3BGRL,0.466,0.068
C6,C6orf118,0.508,0.016
C6,COX6A1,0.626,0.252
C6,SPARC,0.594,0.188
C6,RSPO1,0.513,0.027
C6,HNRNPL,0.325,0.349
C6,APCDD1,0.4,0.199
C6,MARCKS,0.191,0.618
C6,HSBP1,0.37,0.259
C6,SULF2,0.584,0.169
C6,SLC7A8,0.581,0.162
C6,NR2F1,0.45,0.1
C6,CDH2,0.46,0.08
C6,CDK11A,0.536,0.073
C6,AEN,0.483,0.033
C6,DDIT4,0.505,0.01
C6,ERO1L,0.861,0.721
C6,EIF4EBP1,0.464,0.071
C6,ADM,0.675,0.349
C6,PGAM4,0.533,0.067
C6,GNL3,0.721,0.442
C6,FLRT2,0.419,0.161
C6,PDCD6,0.5,0.001
C6,GOLGA8A,0.402,0.195
C6,POLE2,0.472,0.057
C6,EIF4A1,0.54,0.079
C6,MFNG,0.46,0.08
C6,TPI1,0.76,0.519
C6,RAN,0.422,0.155
C6,DDIT3,0.814,0.628
C6,VEZF1,0.461,0.078
C6,UBE2J1,0.442,0.116
C6,C8orf46,0.472,0.056
C6,EGR1,0.359,0.282
C6,TMBIM6,0.699,0.398
C6,TRIM24,0.315,0.371
C6,HNRNPA1L2,0.421,0.157
C6,KANSL2,0.372,0.256
C6,GTF2I,0.313,0.374
C6,DAZAP2,0.655,0.311
C6,MIDN,0.419,0.163
C6,SLC38A2,0.496,0.008
C6,HNRNPA1,0.27,0.461
C6,CCT2,0.452,0.096
C6,NACA,0.627,0.255
C6,EIF5,0.45,0.1
C6,CHAC1,0.582,0.165
C6,DDX3X,0.537,0.074
C6,TCF12,0.398,0.204
C6,SRSF3,0.386,0.228
C6,ABCC9,0.484,0.031
C6,EPB41L4B,0.473,0.055
C6,ATF4,0.613,0.227
C6,NOVA2,0.303,0.394
C6,PCBP2,0.593,0.186
C6,EIF1,0.873,0.745
C6,ATP5G2,0.415,0.17
C6,ATP5B,0.558,0.115
C6,RND3,0.485,0.03
C6,BTG1,0.593,0.186
C6,RBM39,0.639,0.277
C6,DDX5,0.357,0.286
C6,CORO1C,0.443,0.114
C6,UBC,0.671,0.342
C6,H3F3B,0.731,0.462
C6,H3F3C,0.703,0.405
C7,MYT1L,0.41,0.181
C7,STMN2,0.462,0.075
C7,HMP19,0.424,0.152
C7,SCN2A,0.46,0.08
C7,GRIA2,0.45,0.101
C7,GAP43,0.391,0.219
C7,RUNX1T1,0.744,0.488
C7,NRXN1,0.45,0.1
C7,RTN1,0.354,0.293
C7,NEUROD6,0.494,0.012
C7,SCN3B,0.446,0.109
C7,RAB3A,0.417,0.165
C7,GABBR2,0.458,0.084
C7,SNAP25,0.494,0.012
C7,KIF5A,0.187,0.625
C7,BCL11B,0.438,0.124
C7,ATAT1,0.36,0.281
C7,RALYL,0.433,0.134
C7,MKI67,0.36,0.28
C7,ECT2,0.376,0.249
C7,FANCD2,0.417,0.166
C7,RRM2,0.394,0.212
C7,SMC2,0.488,0.025
C7,CKS2,0.461,0.078
C7,SMC4,0.392,0.216
C7,BARD1,0.364,0.271
C7,TPX2,0.402,0.196
C7,RAD51AP1,0.405,0.189
C7,GMNN,0.416,0.168
C7,CENPN,0.441,0.118
C7,AURKB,0.409,0.182
C7,DLGAP5,0.395,0.21
C7,UBE2C,0.421,0.159
C7,TOP2A,0.331,0.337
C7,GNG5,0.701,0.402
C7,NDC80,0.395,0.209
C7,ASPM,0.35,0.3
C7,CENPK,0.393,0.214
C7,TRIM59,0.373,0.255
C7,MIS18BP1,0.405,0.19
C7,CDK1,0.454,0.092
C7,MAD2L1,0.423,0.154
C7,HMGN2,0.484,0.031
C7,CENPF,0.368,0.264
C7,BIRC5,0.359,0.282
C7,CENPU,0.399,0.202
C7,ANP32E,0.356,0.288
C7,NUSAP1,0.367,0.265
C7,CKS1B,0.472,0.057
C7,HMGB2,0.422,0.156
C7,TUBA1A,0.096,0.808
C7,CKB,0.107,0.786
C7,SOX11,0.16,0.68
C7,TUBB2B,0.132,0.737
C7,PTBP2,0.091,0.818
C7,DPYSL2,0.097,0.806
C7,MAP1B,0.129,0.743
C7,DCX,0.166,0.669
C7,P4HA2,0.86,0.72
C7,MMP2,0.888,0.776
C7,TIMP1,0.905,0.809
C7,KDELR3,0.837,0.674
C7,MGP,0.83,0.659
C7,FXYD5,0.811,0.621
C7,SDC4,0.863,0.725
C7,IFITM2,0.862,0.723
C7,PDGFRB,0.871,0.742
C7,PPIC,0.835,0.67
C7,IFITM3,0.951,0.902
C7,TGFBI,0.866,0.733
C7,TPM2,0.901,0.802
C7,FTL,0.927,0.854
C7,KRT8,0.818,0.635
C7,BNC2,0.955,0.91
C7,GXYLT2,0.894,0.787
C7,OLFML3,0.846,0.692
C7,MME,0.89,0.78
C7,RBMS3,0.916,0.832
C7,ANXA2,0.945,0.89
C7,LGALS1,0.936,0.872
C7,SERPINB9,0.916,0.831
C7,COL5A2,0.966,0.932
C7,COL21A1,0.835,0.671
C7,SNAI2,0.892,0.784
C7,S100A10,0.867,0.733
C7,HAS2,0.954,0.909
C7,PITX2,0.884,0.768
C7,CRISPLD2,0.906,0.811
C7,IFITM1,0.819,0.639
C7,DDR2,0.953,0.906
C7,POSTN,0.954,0.908
C7,COL5A1,0.971,0.941
C7,MFAP4,0.966,0.931
C7,COL6A3,0.952,0.904
C7,LUM,0.989,0.979
C7,COL1A2,0.985,0.969
C7,DCN,0.991,0.983
C7,COL1A1,0.976,0.952
C7,COL3A1,0.998,0.996
C7,S100A11,0.985,0.971
C7,MTRNR2L12,0.468,0.063
C7,NNAT,0.321,0.358
C7,PRTG,0.411,0.178
C7,BCAT1,0.698,0.396
C7,CXADR,0.209,0.582
C7,EZR,0.541,0.081
C7,NDUFA6,0.403,0.194
C7,MEGF10,0.413,0.173
C7,STK17B,0.605,0.209
C7,SYNE2,0.256,0.489
C7,CLIC1,0.624,0.248
C7,APOLD1,0.465,0.069
C7,POU3F3,0.199,0.601
C7,ID4,0.259,0.483
C7,CA12,0.519,0.037
C7,FHL2,0.592,0.185
C7,FABP7,0.221,0.559
C7,H2AFX,0.432,0.136
C7,MASP1,0.406,0.189
C7,KIAA1217,0.596,0.191
C7,NTRK3,0.368,0.265
C7,MEIS2,0.54,0.08
C7,CSNK2B,0.554,0.108
C7,SLC1A3,0.446,0.109
C7,SEMA5A,0.825,0.65
C7,NBPF14,0.599,0.198
C7,IL33,0.444,0.111
C7,DMRTA2,0.364,0.272
C7,NBPF10,0.649,0.298
C7,NDUFA3,0.581,0.162
C7,BCL11A,0.479,0.042
C7,DDX39B,0.441,0.119
C7,FOXG1,0.267,0.466
C7,SOX9,0.335,0.331
