Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,stage,tissue,create_date,version
SRR2967729,RNA-Seq,200,265362600,PRJNA304502,SAMN04304319,197624909,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457175,GSM1957710,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957710,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:20:00Z,1
SRR2967730,RNA-Seq,200,127303800,PRJNA304502,SAMN04304320,93161482,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457176,GSM1957711,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957711,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:19:00Z,1
SRR2967731,RNA-Seq,200,248732200,PRJNA304502,SAMN04304321,186811628,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457177,GSM1957712,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957712,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:20:00Z,1
SRR2967732,RNA-Seq,200,286405800,PRJNA304502,SAMN04304322,211335126,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457178,GSM1957713,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957713,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:20:00Z,1
SRR2967733,RNA-Seq,200,291060000,PRJNA304502,SAMN04304323,220619435,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457179,GSM1957714,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957714,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967734,RNA-Seq,200,262659800,PRJNA304502,SAMN04304324,198781511,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457180,GSM1957715,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957715,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967735,RNA-Seq,200,277417800,PRJNA304502,SAMN04304325,211047295,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457181,GSM1957716,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957716,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967736,RNA-Seq,200,230936400,PRJNA304502,SAMN04304326,175383132,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457182,GSM1957717,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957717,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967737,RNA-Seq,200,281483400,PRJNA304502,SAMN04304327,213474818,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457183,GSM1957718,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957718,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967738,RNA-Seq,200,272746600,PRJNA304502,SAMN04304328,206095522,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457184,GSM1957719,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957719,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967739,RNA-Seq,200,332244000,PRJNA304502,SAMN04304329,249362782,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457185,GSM1957720,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957720,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967740,RNA-Seq,200,294751200,PRJNA304502,SAMN04304330,222620407,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457186,GSM1957721,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957721,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967741,RNA-Seq,200,310143400,PRJNA304502,SAMN04304331,234282562,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457187,GSM1957722,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957722,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967742,RNA-Seq,200,302444800,PRJNA304502,SAMN04304332,227028201,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457188,GSM1957723,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957723,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967743,RNA-Seq,200,279819000,PRJNA304502,SAMN04304333,209534189,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457189,GSM1957724,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957724,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:21:00Z,1
SRR2967744,RNA-Seq,200,284691000,PRJNA304502,SAMN04304334,213985305,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457190,GSM1957725,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957725,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967745,RNA-Seq,200,262311400,PRJNA304502,SAMN04304335,199224099,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457191,GSM1957726,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957726,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967746,RNA-Seq,200,243171400,PRJNA304502,SAMN04304336,183750699,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457192,GSM1957727,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957727,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967747,RNA-Seq,200,229224800,PRJNA304502,SAMN04304337,174387792,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457193,GSM1957728,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957728,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967748,RNA-Seq,200,247580600,PRJNA304502,SAMN04304338,186708607,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457194,GSM1957729,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957729,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967749,RNA-Seq,200,265748000,PRJNA304502,SAMN04304339,196829452,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457195,GSM1957730,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957730,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967750,RNA-Seq,200,344105200,PRJNA304502,SAMN04304340,257090270,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457196,GSM1957731,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957731,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967751,RNA-Seq,200,316539600,PRJNA304502,SAMN04304341,235926627,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457197,GSM1957732,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957732,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967752,RNA-Seq,200,252396600,PRJNA304502,SAMN04304342,185919094,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457198,GSM1957733,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957733,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:18:00Z,1
SRR2967753,RNA-Seq,200,222162200,PRJNA304502,SAMN04304343,167721306,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457199,GSM1957734,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957734,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:21:00Z,1
SRR2967754,RNA-Seq,200,241199400,PRJNA304502,SAMN04304344,182589818,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457200,GSM1957735,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957735,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:21:00Z,1
SRR2967755,RNA-Seq,200,241352800,PRJNA304502,SAMN04304345,182060450,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457201,GSM1957736,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957736,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:21:00Z,1
